House Size (Acres),Number of Bedrooms,Number of Bathrooms,Year Built,Distance from City Center (km),Price (Lakhs to Crores)
2.17,4,4,1954,1.76,597.09
0.29,3,1,1956,23.33,452.77
0.58,5,4,1980,22.04,953.02
4.23,4,1,2009,49.79,215.35
2.3,3,2,1991,43.18,614.03
0.59,3,1,2006,16.37,403.8
0.31,1,3,1970,44.22,949.86
4.6,1,3,1989,16.32,537.08
2.36,5,3,2003,29.25,232.88
4.78,5,2,1953,5.95,782.61
0.95,5,3,2015,7.23,29.92
4.92,6,4,1967,19.69,323.46
3.31,6,3,1968,21.39,163.01
3.84,3,3,2002,8.99,364.46
4.76,1,3,1967,35.42,240.56
4.05,2,4,1981,27.42,201.12
1.84,1,2,1974,14.15,263.85
4.4,4,3,1953,4.63,172.51
0.78,6,4,1951,2.62,773.46
0.5,6,4,1987,1.24,826.9
4.55,3,3,2010,34.56,424.47
3.29,1,3,1952,8.15,111.11
1.69,3,1,1998,32.66,96.15
2.05,3,3,1973,24.77,961.66
0.55,2,1,1986,9.22,545.88
4.95,2,4,2015,25.85,305.47
4.8,6,3,1994,1.39,436.67
4.7,5,1,1960,12.14,943.42
0.42,5,1,1985,11.58,722.82
0.69,5,4,1973,4.88,697.75
4.45,2,3,2007,27.27,857.63
2.74,6,2,2020,5.36,80.18
0.85,2,2,1970,47.84,491.63
2.13,3,2,2008,12.91,460.85
4.32,5,2,1964,19.48,725.21
4.62,6,4,1970,48.94,362.84
3.78,5,3,1951,26.0,388.11
4.58,4,2,1984,15.73,33.03
3.13,6,3,2007,18.12,362.44
1.66,1,2,1980,27.51,57.65
0.75,6,3,1961,31.86,281.2
0.13,6,4,1953,18.38,640.49
1.36,6,1,1987,13.87,68.88
1.68,5,2,1984,12.92,831.91
4.65,5,4,1957,43.79,33.69
3.29,5,4,1965,35.59,438.8
4.47,3,4,2021,9.04,447.9
2.08,2,4,2022,32.12,710.66
1.37,5,1,2017,45.46,919.31
3.17,5,3,2010,12.59,759.5
0.81,5,3,1980,35.41,116.47
4.64,4,2,1982,22.61,90.57
4.62,3,4,1953,15.14,596.14
0.24,4,2,1965,29.24,953.67
2.87,2,2,1966,28.86,689.23
2.78,3,2,1979,36.46,261.76
4.7,2,3,1978,40.29,273.79
2.46,3,2,2002,1.15,420.98
4.37,1,3,2014,2.25,150.69
3.41,1,2,1960,44.68,778.77
2.73,6,1,1958,27.03,654.6
0.36,3,3,1960,5.05,244.58
0.46,3,1,1955,10.53,195.51
3.01,6,2,1980,17.37,914.05
4.85,4,2,1975,31.19,481.75
4.77,6,2,1964,25.6,206.13
1.2,5,3,1995,41.23,784.63
4.16,1,4,1960,23.41,968.28
4.36,5,2,1968,27.63,189.07
0.44,1,3,1988,11.18,912.89
1.55,5,4,1959,14.68,148.64
2.76,4,4,2016,42.66,614.56
4.37,1,4,1952,23.55,641.2
1.07,2,2,1999,42.47,415.14
4.24,1,4,2007,24.33,511.97
2.0,2,3,1969,23.8,399.71
4.53,4,1,1964,47.23,585.85
4.56,3,1,1957,43.49,78.96
4.13,3,1,2000,8.35,839.47
3.83,4,1,2006,25.61,63.23
0.58,4,1,2011,13.38,113.82
4.76,4,2,1953,41.28,360.26
0.78,1,2,1994,38.26,694.4
3.92,3,2,1977,30.01,179.44
1.65,6,2,1971,31.76,770.68
1.31,4,2,1984,33.05,751.45
3.42,6,2,1967,13.05,210.7
2.36,5,1,1975,34.51,385.46
2.8,2,3,2017,17.47,290.18
2.6,3,1,1967,33.46,424.71
1.84,2,4,1956,28.45,136.64
3.25,6,4,1954,30.05,338.25
4.03,4,3,1977,25.06,342.05
0.64,4,1,1975,45.38,704.44
0.43,4,4,1994,1.66,663.54
4.27,5,3,1976,43.07,786.98
3.48,4,4,1989,36.47,470.53
0.96,1,2,1998,31.08,61.69
2.09,3,4,2015,28.18,573.7
3.32,6,3,1964,6.86,454.92
1.14,4,3,1986,48.21,320.01
4.65,4,1,1970,33.65,56.32
2.51,5,3,1980,36.65,291.45
1.15,3,2,2009,12.35,404.46
2.12,2,1,1972,43.8,961.29
1.75,5,3,1974,38.09,453.77
0.29,2,3,2008,44.41,685.22
2.24,4,3,2020,14.38,71.69
4.96,2,3,1982,35.72,655.68
2.88,1,1,1959,30.55,328.3
3.51,5,3,1957,5.36,74.29
3.75,3,2,1972,3.5,182.93
1.02,3,1,1990,32.97,790.89
2.07,6,4,1990,30.55,784.85
0.24,4,2,2021,23.59,271.9
4.62,1,1,1954,19.69,656.98
1.42,6,2,2020,10.8,233.92
3.23,4,1,2013,17.72,161.63
1.91,5,1,1994,13.13,984.71
0.58,3,2,1995,5.0,903.72
3.14,4,1,1992,8.85,775.18
3.64,5,2,1990,6.36,397.77
4.0,6,1,1996,44.52,187.95
3.92,4,4,1954,39.25,760.44
4.54,2,2,1980,49.28,335.59
1.89,3,4,1968,23.72,879.72
4.47,6,1,1971,8.78,155.56
0.17,6,2,2016,31.82,815.9
4.67,2,1,1965,36.6,677.05
2.03,3,1,1959,36.54,955.18
2.7,1,1,2021,40.83,274.92
0.63,5,2,2010,43.05,589.08
2.77,5,1,1967,10.15,434.61
2.05,3,3,1973,25.77,243.49
3.3,2,4,2004,3.21,945.75
0.26,3,3,2010,27.21,305.79
3.59,6,4,1973,17.26,164.18
0.81,5,3,1961,49.22,996.03
0.16,2,2,1955,9.85,55.5
1.14,5,4,1952,4.14,933.21
2.42,2,2,2011,22.2,996.08
0.95,6,3,1987,43.16,666.4
1.96,2,1,1973,10.77,107.9
0.87,3,1,1971,8.24,83.92
1.67,4,2,1988,48.72,919.4
1.02,1,1,1962,2.98,867.5
0.33,6,3,1968,35.62,201.18
3.0,4,1,1952,30.0,846.0
2.56,1,2,1992,35.18,453.12
2.9,2,4,2001,11.86,372.73
3.51,1,4,1988,19.87,797.06
4.08,3,2,1987,34.65,492.88
3.95,5,3,1997,15.05,503.97
1.75,4,3,1961,49.45,553.67
1.74,6,4,2018,39.32,217.47
3.28,5,3,2003,19.73,657.72
3.81,1,3,1994,20.27,452.31
1.45,6,1,1987,35.0,798.94
4.59,5,2,1977,14.35,694.58
4.72,2,1,1964,11.51,309.56
4.84,4,4,1957,14.09,234.05
4.0,6,2,1960,26.12,27.98
3.0,5,3,1992,10.72,319.01
0.49,5,4,2002,19.55,69.17
2.89,3,2,1960,36.67,202.79
2.45,3,4,1957,4.29,55.91
3.94,2,1,1998,44.41,699.78
3.87,3,3,2008,37.21,348.51
4.8,6,3,1975,46.39,985.66
4.35,2,4,1972,40.43,977.73
2.39,5,4,2002,26.75,606.46
1.48,4,2,2019,12.43,708.19
2.12,6,4,2002,7.97,466.82
3.32,3,3,1977,6.92,230.15
2.33,1,1,1975,49.21,44.27
2.51,2,3,1976,5.31,417.57
2.74,3,1,1960,27.28,631.05
1.93,4,2,1981,17.6,493.88
4.73,2,1,1977,26.48,334.93
4.61,2,4,2008,43.71,785.09
4.15,2,3,2019,36.84,238.21
2.51,1,3,1968,36.52,377.41
0.69,2,4,2009,10.22,111.1
3.07,3,1,1992,30.14,214.83
1.68,1,3,1974,33.65,631.62
2.46,3,3,2018,17.68,88.16
2.07,3,1,2015,35.86,203.92
0.67,3,3,1961,36.45,994.03
1.08,5,2,1992,13.83,408.56
2.8,4,4,1962,22.18,40.14
4.09,4,4,2008,15.53,665.91
0.39,3,1,1993,46.74,560.28
3.61,1,1,1994,47.86,790.78
4.8,6,3,1984,3.12,309.19
0.41,6,4,1974,44.23,182.49
4.6,4,2,1973,9.29,109.64
2.5,1,2,2000,45.2,884.82
4.1,6,4,1976,39.62,988.51
0.26,6,1,1983,34.03,835.17
1.39,5,4,2009,30.19,488.84
0.23,1,4,1956,33.71,490.02
3.06,2,1,1958,26.78,950.71
3.4,4,3,1983,12.69,317.49
1.13,5,2,1987,10.49,419.21
3.99,5,1,1956,19.36,91.01
0.81,6,3,1988,32.06,564.77
2.96,5,1,1971,12.78,271.58
2.5,6,3,2012,36.34,401.92
1.2,4,1,2019,10.68,278.18
4.21,4,4,1958,6.31,903.61
1.46,6,4,1969,5.13,617.1
3.22,4,2,1996,6.21,439.45
4.41,2,2,1972,48.94,728.99
2.2,4,3,1979,39.91,413.77
1.12,4,2,1957,48.83,970.19
4.73,6,3,1968,43.08,245.83
2.39,3,1,1964,38.36,528.93
1.79,4,4,1955,30.84,250.15
2.89,4,4,2016,43.54,49.87
3.85,3,4,1955,16.64,911.08
3.89,5,1,1971,8.83,329.84
4.3,4,1,1960,27.93,72.45
1.84,3,2,2003,8.67,541.97
3.31,2,1,1966,19.93,164.1
3.64,1,3,1964,17.03,566.54
0.51,1,2,1955,40.21,917.79
4.69,4,2,1966,29.96,871.63
4.23,5,2,1983,45.96,481.26
1.06,6,3,1975,22.41,142.1
1.5,3,1,1992,32.76,17.07
3.76,6,1,1964,45.56,999.44
2.35,2,2,1950,18.53,78.4
1.57,5,4,2006,25.04,925.13
4.17,2,1,2005,2.35,184.2
0.95,4,2,1980,48.0,897.52
2.35,3,1,1965,43.97,989.34
4.8,5,2,2021,35.06,459.74
2.22,3,3,1950,8.71,964.19
1.43,5,4,1993,12.44,610.9
4.43,2,2,1975,24.85,957.72
0.3,2,3,1982,13.41,288.2
0.49,6,2,1988,48.09,609.32
4.92,6,2,1987,14.98,850.65
4.91,3,1,1965,42.31,526.62
2.06,3,3,1995,22.36,268.45
2.56,2,1,1971,39.93,461.8
4.23,1,3,2005,13.48,732.68
2.3,5,4,1954,21.65,734.21
4.99,6,1,1950,25.99,525.34
3.7,5,4,1998,20.66,273.1
4.23,2,4,1974,32.6,586.06
3.59,3,1,1982,21.93,480.24
2.1,3,2,1972,49.69,577.81
2.97,1,1,2021,18.95,303.37
4.98,3,1,2016,2.59,671.23
1.85,1,2,1970,47.15,197.07
1.55,2,2,1965,6.53,398.56
4.93,3,4,2019,31.78,41.55
4.39,5,3,1963,13.99,898.97
0.33,4,1,2002,44.54,887.93
3.55,2,3,1976,18.83,270.28
1.19,5,4,1959,17.94,728.58
3.98,2,1,1963,4.61,165.63
3.97,1,3,1997,44.36,359.54
1.99,2,4,2015,44.57,923.28
1.03,6,4,1993,39.25,787.7
1.84,5,1,1978,39.39,464.39
3.03,3,3,1967,26.83,989.5
1.64,6,3,2010,48.58,987.68
1.04,5,4,1990,36.98,503.22
1.35,2,2,1988,39.17,937.05
0.25,3,1,1984,22.69,705.1
4.57,1,4,2013,43.6,660.79
4.26,2,1,2009,45.11,291.09
1.22,5,3,1954,15.74,653.06
0.76,2,4,2019,18.44,845.35
3.63,6,1,1967,9.76,412.51
2.87,6,1,1989,35.84,855.66
2.9,1,1,1989,16.13,705.87
2.5,1,1,1974,19.42,520.38
0.5,1,2,1966,1.51,821.41
2.9,3,4,1965,29.79,451.8
3.2,6,2,2014,8.23,889.82
0.9,1,4,1992,49.29,512.4
0.37,6,3,2022,10.43,449.3
3.97,4,4,1997,22.37,841.98
4.09,2,4,2018,45.1,626.2
4.83,1,2,1982,20.54,897.85
0.74,5,1,1980,11.11,62.84
2.81,2,3,2011,38.02,613.41
0.89,5,1,1986,32.32,797.28
3.08,4,3,1984,40.08,391.95
0.57,4,3,1988,46.22,461.03
4.14,5,2,1988,14.05,607.78
0.94,5,2,2006,41.34,516.56
4.35,3,2,1963,39.38,677.03
4.13,2,2,1956,15.92,394.36
2.65,4,1,1964,49.61,431.26
3.54,1,2,1965,17.79,128.81
2.33,3,4,1992,16.98,697.75
1.91,5,4,1952,15.46,697.47
4.2,2,3,2018,3.26,267.49
0.41,4,4,1994,1.99,989.65
4.86,4,2,1958,23.02,40.6
3.98,6,3,2003,36.33,520.61
2.35,1,3,2000,37.92,854.35
0.72,5,4,2016,12.6,941.44
3.17,6,1,1991,29.95,556.41
4.08,1,2,1997,18.6,308.4
2.82,6,2,1982,1.2,62.72
0.2,2,3,2012,32.99,145.45
2.29,1,2,1981,26.88,722.24
4.68,6,1,1961,34.04,840.95
3.73,1,4,2010,12.74,807.73
2.81,5,1,1986,3.77,115.28
1.23,2,1,1970,11.64,572.97
1.31,3,2,1958,40.49,894.21
2.04,4,2,1972,14.36,43.13
0.83,6,1,1973,49.66,64.18
4.14,5,2,1984,5.13,366.36
3.63,3,2,2004,4.72,961.94
0.26,4,1,1962,20.2,591.32
2.78,3,1,2009,28.22,733.93
3.3,6,4,2014,18.24,342.55
1.38,3,2,1964,2.84,626.51
2.99,4,1,1994,10.37,472.7
3.66,1,1,1985,38.02,222.36
3.6,6,4,1968,11.51,401.27
3.95,4,4,1977,8.21,599.55
2.72,1,2,1957,21.45,50.99
3.64,3,3,1953,22.33,339.24
2.71,4,1,1987,31.41,417.11
4.63,4,4,2001,48.16,965.43
0.21,3,4,1952,44.99,585.38
4.85,6,3,1978,14.13,709.81
2.25,4,3,1971,17.81,230.28
2.45,3,2,2020,9.13,129.26
1.69,6,3,2012,6.3,928.01
4.5,5,2,2015,29.3,255.84
1.01,4,2,1982,35.0,77.66
0.63,4,1,1958,9.55,17.54
4.09,2,1,1962,21.16,232.26
1.07,1,2,1955,35.52,965.03
2.43,4,2,1964,44.48,156.75
0.16,6,4,1994,41.48,131.42
1.57,6,2,1968,28.34,321.74
4.14,2,3,1965,32.84,573.68
0.63,5,4,2020,34.46,785.56
3.07,1,3,2019,23.69,595.0
1.0,3,3,2021,37.32,642.7
4.69,4,3,1961,22.13,125.19
3.25,1,1,1960,7.65,72.04
4.93,6,1,1990,37.29,96.45
1.88,4,4,1972,9.9,791.52
2.78,2,2,2016,9.72,736.02
3.36,3,2,2002,39.91,921.86
2.89,5,2,1952,44.61,662.55
0.34,4,3,1972,39.47,853.76
4.65,1,2,2003,9.95,258.35
1.18,5,2,1994,36.31,21.22
3.05,3,3,2020,36.46,533.71
4.53,4,2,2013,47.33,623.27
3.42,5,4,2021,38.66,192.19
4.43,4,3,2000,23.13,482.13
4.7,3,2,1958,4.29,302.42
0.21,2,3,2017,32.06,548.57
0.78,2,2,2009,32.11,689.67
4.8,3,1,1954,12.27,36.24
3.0,3,3,2009,37.35,717.58
3.45,3,2,1955,2.4,414.67
1.61,1,2,1987,44.07,399.0
3.27,5,3,2006,29.88,224.42
4.49,5,3,1989,13.49,876.6
1.82,4,2,1984,48.68,414.87
3.6,2,4,2008,43.82,508.73
3.58,2,1,1986,47.35,847.19
0.79,4,2,1954,21.13,276.95
1.64,1,3,2021,3.35,779.1
1.88,2,4,1976,23.04,719.16
1.56,6,4,2001,48.05,122.23
1.26,1,4,1972,43.44,16.61
1.39,3,4,1963,48.57,21.52
2.99,3,2,1981,24.8,44.95
3.85,2,1,2006,42.42,771.98
4.15,6,2,1962,35.1,379.57
2.53,4,2,1958,39.4,810.04
0.1,2,3,2009,36.94,354.31
1.94,4,3,1983,23.29,570.31
2.24,1,2,2019,44.19,109.35
0.84,2,1,1967,13.35,365.14
0.63,4,2,1994,19.25,336.41
2.74,1,1,1955,12.25,765.31
0.65,2,4,1957,2.29,840.07
0.89,4,3,1951,8.84,660.78
0.27,1,1,2011,46.76,959.64
3.74,1,1,1959,20.5,463.08
2.89,6,3,1976,32.5,798.15
3.25,2,3,1977,10.68,606.14
3.68,4,2,1950,20.03,770.21
0.64,1,4,2012,36.04,685.01
2.79,1,1,2016,10.52,668.94
4.06,2,4,2006,47.98,462.65
1.63,6,2,1999,37.27,575.75
0.27,2,3,1960,49.63,437.95
0.99,4,3,1995,34.9,686.44
0.43,5,1,1990,14.67,969.91
0.33,1,2,1991,40.81,656.96
1.39,5,3,1959,30.6,385.78
0.96,6,2,1973,42.53,270.5
0.23,5,2,1987,23.18,430.08
3.07,2,2,2016,21.88,568.38
3.91,2,1,2004,22.22,535.02
2.46,2,2,2012,20.14,244.06
4.86,2,1,1957,45.4,874.42
2.33,1,2,1969,12.06,913.64
2.65,2,1,1961,41.87,48.2
0.56,1,3,2007,45.9,205.19
3.49,6,4,1964,25.84,550.33
4.8,4,4,1984,13.64,671.22
0.26,1,2,1987,25.56,792.1
4.64,6,2,2004,11.11,855.27
3.33,3,2,2004,46.11,524.42
4.38,4,2,1994,23.36,686.79
2.37,3,2,1987,6.22,694.03
3.26,3,2,1955,27.75,638.31
3.67,2,4,1954,35.29,878.62
1.04,4,1,2010,10.37,258.78
0.69,4,4,1984,37.58,142.7
0.38,4,3,2002,27.45,460.96
3.35,2,3,1969,10.14,287.2
2.21,6,2,1997,26.81,756.47
4.95,2,4,1976,25.11,939.85
0.96,1,3,1960,7.29,962.93
4.93,2,1,1983,47.89,273.6
3.14,5,2,1966,5.7,926.75
1.56,1,4,2003,28.78,491.78
4.34,4,1,1957,9.31,184.38
3.27,4,2,1983,46.69,698.89
4.31,4,4,2017,9.06,376.52
3.72,1,4,1971,7.28,960.01
2.91,2,2,2017,4.47,209.87
3.23,6,3,1988,23.82,216.69
3.8,2,4,1976,23.56,134.27
0.97,1,3,1963,29.07,201.69
2.43,6,2,1969,43.27,815.71
3.93,3,4,1989,46.76,840.78
4.47,2,2,2003,27.71,39.65
2.79,6,3,1982,1.04,453.03
1.41,4,2,1995,8.78,721.95
2.23,6,2,1957,21.14,801.82
2.88,3,1,1999,41.69,767.42
1.61,4,2,1968,9.38,397.41
2.32,1,1,1979,4.01,128.33
2.7,6,1,1990,34.54,225.7
2.1,4,4,1959,30.67,317.8
0.56,1,3,1966,23.03,491.13
1.52,6,2,2016,44.59,572.73
3.81,1,3,1967,17.75,850.21
4.67,5,4,2012,11.04,367.96
0.45,5,3,1954,36.9,454.53
3.39,3,3,1962,32.72,869.96
2.43,1,4,1950,22.87,724.91
1.44,4,4,2021,12.41,110.3
4.27,2,4,2015,28.67,48.49
3.17,4,1,2006,22.56,773.75
0.44,4,1,1952,1.79,252.11
4.42,4,1,1978,18.6,524.8
3.96,3,4,1963,46.3,852.59
4.6,6,2,1959,35.52,524.53
4.01,3,4,1991,15.66,606.5
0.21,5,4,1976,39.3,704.73
2.69,6,2,1960,10.3,787.42
4.14,6,4,1956,20.47,872.96
0.69,5,4,1988,45.77,393.5
4.79,1,4,1982,23.93,200.02
3.68,6,1,1963,17.97,826.94
3.55,6,2,1970,13.46,256.36
3.67,4,4,1971,13.69,697.93
3.68,5,1,1976,7.59,573.22
3.21,2,1,2013,24.08,46.58
3.89,4,2,1970,29.66,887.63
0.94,4,2,1953,3.41,351.31
3.55,4,4,1979,27.34,928.64
4.64,2,3,2003,38.16,875.61
0.54,1,2,1954,15.35,707.12
2.03,4,4,1953,3.39,777.33
0.67,4,1,1990,20.84,630.49
3.61,2,4,2022,3.85,151.39
0.42,4,3,1954,14.95,394.42
4.12,4,1,1977,1.62,982.91
3.64,3,1,1997,27.06,599.2
2.89,2,2,2007,27.38,503.57
3.94,1,4,1952,26.17,517.56
0.6,5,4,2003,16.91,996.47
1.02,6,2,1966,36.21,665.7
2.69,6,4,1967,49.0,642.18
3.31,6,4,1982,4.59,626.41
2.04,2,2,2021,11.21,72.65
3.92,2,4,1955,19.83,64.23
0.81,3,4,2013,13.3,423.78
4.91,3,3,2001,19.31,952.46
2.22,6,1,1996,33.6,443.92
0.7,4,2,1986,30.25,206.02
4.05,5,2,1993,28.85,351.25
1.49,2,3,1985,34.88,108.72
2.53,3,1,1983,24.66,750.48
0.64,4,3,1997,47.81,483.37
4.54,4,3,1992,22.06,315.09
1.21,6,4,1995,39.6,751.87
2.4,2,3,1990,31.12,833.64
4.56,3,1,1951,48.5,760.18
3.27,6,3,1971,12.67,288.03
0.95,1,3,2011,24.38,113.48
4.5,2,1,2011,11.77,346.94
3.19,2,3,2017,41.29,420.98
1.95,1,4,1980,46.08,32.56
4.73,2,3,1962,29.96,497.49
2.2,2,2,1983,18.17,862.04
0.57,1,4,1990,4.03,137.15
3.26,6,2,1952,22.55,490.84
2.41,3,3,1984,41.45,446.38
4.67,5,2,1962,30.32,729.18
2.08,2,2,1970,15.77,71.78
1.0,5,4,1992,16.51,929.54
4.56,4,2,1986,16.52,700.8
1.86,4,4,1993,32.66,598.39
3.7,4,4,1996,35.54,611.65
4.7,2,3,1985,46.51,165.58
3.51,3,1,2019,39.98,541.26
4.59,3,4,1996,12.14,291.78
4.15,1,4,1999,2.82,429.91
2.38,5,3,1973,39.32,321.72
1.08,1,4,2004,11.0,353.83
4.6,3,3,1986,8.08,421.73
4.09,6,2,2005,5.46,846.94
0.69,6,3,1953,21.24,415.0
3.42,3,3,2001,5.15,470.84
1.14,3,2,2006,10.23,604.09
4.66,6,3,1967,46.74,14.92
3.91,1,4,2020,38.28,933.43
2.19,2,2,1979,37.81,522.51
4.16,3,4,2000,31.09,805.23
1.36,5,3,1997,16.83,338.83
0.73,2,1,1953,41.02,146.7
0.81,1,1,2018,23.16,985.69
1.84,2,4,1992,30.02,369.13
2.28,5,4,1999,49.13,626.68
3.93,4,1,1977,27.24,50.96
2.4,1,1,2013,4.78,113.4
1.66,5,2,2012,10.28,412.22
4.54,4,4,2016,4.35,326.63
2.25,6,2,1976,14.35,197.38
4.17,5,2,1970,35.3,127.31
1.88,4,1,1997,46.23,545.92
1.28,2,4,2019,22.22,923.13
4.42,3,3,1955,47.47,82.77
0.53,3,4,1957,10.95,966.19
2.06,6,4,1984,48.14,863.63
2.4,2,1,1980,31.1,685.9
0.96,6,1,1979,6.85,959.01
2.19,2,1,1970,31.62,697.79
0.6,1,1,1962,25.6,419.25
0.98,1,3,1950,45.06,14.39
4.49,6,4,1972,3.93,535.5
4.31,5,1,1985,8.27,28.39
1.7,6,4,1966,1.09,104.93
3.08,2,1,1987,27.31,567.29
2.41,2,4,2016,40.01,787.99
4.45,1,3,2012,1.77,103.82
0.98,4,1,1991,16.65,827.73
3.11,3,2,2009,22.57,593.13
3.34,5,1,1961,14.42,462.07
4.95,5,2,1983,18.96,743.03
3.64,1,2,1965,30.23,886.7
1.59,1,4,2011,12.42,105.17
2.41,3,4,2007,29.41,201.19
0.87,6,4,1959,44.83,528.82
0.89,6,2,1998,24.02,639.24
1.57,6,2,1992,4.3,397.33
3.34,5,4,1979,1.47,246.15
3.98,6,3,2015,25.25,950.35
1.77,6,1,1966,8.34,643.0
1.05,1,1,1998,16.43,224.07
1.52,1,3,2018,44.16,753.57
4.48,5,1,2013,35.5,230.78
4.65,6,4,2019,48.04,908.07
2.92,1,2,2002,7.25,504.32
2.14,6,1,1996,35.55,649.03
0.22,6,3,1993,17.88,930.56
0.43,1,3,1985,43.59,686.62
1.04,1,4,1958,38.77,519.85
2.41,5,4,1955,20.06,642.98
2.86,5,1,1973,25.21,841.21
4.03,1,3,1970,27.72,818.19
2.36,6,2,1971,38.52,497.65
2.52,5,2,1962,16.41,984.02
4.45,5,2,1964,36.14,724.06
3.35,2,4,2021,32.21,597.73
3.54,2,2,1979,5.26,328.3
2.16,1,3,2019,14.52,432.5
3.58,2,3,1991,35.21,632.06
2.75,3,2,1964,31.09,732.24
0.98,5,3,1961,9.64,717.17
1.67,5,2,1964,17.21,320.83
4.22,2,2,1996,49.74,280.36
0.16,4,2,1956,28.7,284.31
3.09,3,2,1960,37.48,214.52
0.77,6,4,1993,26.29,649.85
4.1,2,1,1967,23.11,88.24
2.28,6,1,2021,49.87,805.2
2.66,5,4,1979,15.77,995.33
1.94,4,3,1995,14.85,593.76
2.88,6,3,1986,45.49,297.79
1.87,4,1,1952,10.19,516.61
4.04,3,3,2010,12.8,858.07
1.14,1,3,1997,44.35,380.97
4.09,5,3,1955,10.05,219.44
0.48,5,1,1993,26.44,78.74
1.68,6,1,1970,13.68,350.26
1.72,2,4,1961,33.69,201.29
0.57,3,2,2014,22.65,572.39
3.04,5,1,2013,5.57,908.69
3.48,1,2,1984,23.93,74.11
2.76,1,3,2017,18.67,407.85
2.06,2,1,1976,14.16,366.58
4.01,5,3,1967,21.42,716.21
1.97,2,2,2005,43.53,524.34
3.93,1,1,2000,12.34,675.34
0.2,4,1,2018,37.65,801.45
0.68,5,3,2019,26.25,954.42
4.81,3,2,1978,15.33,767.91
3.34,5,2,1973,10.41,618.0
0.23,1,3,1964,24.81,746.61
3.22,6,1,2012,41.71,911.9
2.67,6,1,2004,41.99,828.75
3.43,4,4,1976,22.02,553.03
3.55,2,4,2020,31.8,610.43
3.61,1,1,1992,22.53,688.29
1.47,1,1,1999,48.33,580.1
2.76,5,4,1986,12.98,101.15
4.77,4,1,1962,30.8,262.03
2.94,4,3,1970,29.7,95.16
1.45,2,1,1959,16.81,973.8
1.75,4,1,1970,16.26,390.79
0.35,1,3,2018,1.89,63.74
4.4,4,3,2021,30.97,893.78
0.14,4,1,1983,5.38,128.58
4.24,3,2,1955,45.17,358.05
2.46,1,1,1953,1.04,425.78
0.9,1,4,1957,28.26,525.92
0.35,2,2,1972,17.12,153.45
1.09,4,4,1987,43.19,529.43
0.99,5,2,1989,21.1,85.18
3.71,5,3,1974,47.71,574.2
3.28,2,4,1958,16.2,57.66
3.46,5,1,1976,2.28,756.69
1.34,6,1,1968,47.78,458.39
0.98,2,3,1964,32.24,79.33
3.91,1,2,2006,21.01,528.7
2.28,1,3,1981,28.18,516.01
1.03,1,3,1950,7.36,902.46
4.94,4,3,1999,35.55,312.25
0.85,6,1,1963,21.68,257.77
2.28,2,4,1984,25.03,193.57
0.75,4,1,1978,6.83,435.58
1.83,3,4,1960,45.06,573.24
3.23,6,1,2006,31.35,930.96
1.59,1,1,1969,26.86,417.03
1.82,2,4,1977,37.69,653.57
4.28,2,1,1990,7.45,455.06
1.86,2,2,1965,30.54,753.46
0.77,4,2,1958,29.56,387.87
3.35,4,1,1990,3.77,891.13
0.56,6,3,1973,7.96,525.0
1.98,3,3,2017,27.3,54.01
2.24,3,4,2000,12.76,259.69
3.35,2,3,2001,20.15,595.2
2.51,6,4,2011,18.84,500.8
2.78,1,4,2009,6.77,987.72
1.89,3,1,1975,30.9,243.18
0.36,4,4,2012,10.39,614.1
1.6,5,2,2007,29.19,312.52
0.85,4,1,1962,34.89,775.06
4.71,3,1,2018,44.6,95.71
3.84,5,4,2001,5.08,978.91
2.58,5,3,1991,20.24,597.06
1.71,1,2,1954,17.02,548.45
3.6,3,3,1961,33.14,829.3
2.02,3,1,1950,36.23,546.39
2.08,5,3,2017,19.89,740.9
0.93,2,1,1959,22.02,865.43
4.1,2,2,1991,38.62,139.55
2.02,6,1,1998,14.42,914.14
0.6,6,3,1991,6.93,641.36
2.21,6,1,2014,8.15,175.74
0.6,3,4,1988,26.36,216.82
0.59,3,4,1959,47.11,802.24
4.2,4,2,1972,15.95,228.65
4.07,1,1,2017,25.73,458.71
4.02,2,3,2021,16.78,887.87
1.32,5,3,1953,33.13,692.27
2.93,5,1,2016,39.66,962.51
4.09,5,3,1982,45.19,610.29
4.53,3,3,1950,49.65,116.13
0.25,4,4,1964,42.56,450.16
4.97,3,1,1962,13.97,528.07
4.5,3,4,1993,20.13,208.2
3.53,3,4,1951,40.67,702.4
0.51,4,2,2004,22.61,986.88
2.88,4,2,2008,43.09,129.58
0.12,2,4,2017,20.06,195.44
0.81,4,2,1965,14.84,524.79
4.88,6,2,2011,6.44,737.09
1.48,1,3,1998,15.74,643.05
2.07,5,3,1958,15.41,310.0
4.22,6,2,2000,9.05,843.57
0.28,4,4,1996,34.78,341.95
0.53,2,3,1988,43.44,760.21
0.26,1,1,1976,47.54,341.94
0.55,6,3,1998,16.77,13.21
2.57,2,1,2011,49.78,855.05
3.37,6,4,2003,1.35,453.63
4.52,1,2,1979,34.77,928.86
0.13,5,1,1952,45.07,850.31
4.04,5,4,1954,49.2,109.65
4.94,2,1,1986,13.57,189.12
0.46,6,1,1999,22.27,841.89
0.21,2,4,2022,10.01,149.15
0.14,2,3,1977,29.66,440.77
0.32,5,4,2020,9.65,966.59
0.91,5,1,1983,4.78,641.67
4.79,6,3,2015,15.95,534.55
2.41,1,3,2021,39.08,718.47
